City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Moorhead,US,2021-10-03 06:13:29,46.8739,-96.7676,48.22,87,1,0.0
244,Pangai,TO,2021-10-03 06:13:30,-19.8,-174.35,75.31,73,75,24.16
245,Narsaq,GL,2021-10-03 06:10:13,60.9167,-46.05,43.02,60,2,3.42
246,Billings,US,2021-10-03 06:12:02,45.7833,-108.5007,60.37,33,1,10.36
247,Khatanga,RU,2021-10-03 06:08:24,71.9667,102.5,24.12,87,72,5.26
248,Berdigestyakh,RU,2021-10-03 06:13:31,62.0989,126.6992,39.87,51,10,5.88
249,Capusu Mare,RO,2021-10-03 06:13:31,46.7833,23.3,41.49,59,9,3.8
250,Kadoma,JP,2021-10-03 06:13:32,34.7333,135.5833,86.59,30,0,6.71
251,Kodiak,US,2021-10-03 06:10:16,57.79,-152.4072,38.71,56,90,12.66
252,Roma,US,2021-10-03 06:13:32,43.2128,-75.4557,60.66,93,1,3.44
253,Namanga,KE,2021-10-03 06:13:33,-2.5433,36.7905,69.67,63,96,5.68
254,Saskylakh,RU,2021-10-03 06:08:34,71.9167,114.0833,21.47,95,86,7.54
255,Teguldet,RU,2021-10-03 06:13:33,57.3064,88.1667,34.14,85,100,6.69
256,Lodwar,KE,2021-10-03 06:13:34,3.1191,35.5973,86.22,41,94,9.78
257,Katsuura,JP,2021-10-03 06:09:16,35.1333,140.3,78.19,74,27,9.66
258,Virden,US,2021-10-03 06:13:04,39.5009,-89.7679,69.39,98,87,5.35
259,Chifeng,CN,2021-10-03 06:10:30,42.2683,118.9636,73.04,31,51,1.7
260,Dharchula,IN,2021-10-03 06:13:35,29.85,80.5333,78.53,67,50,5.17
261,La Ronge,CA,2021-10-03 06:13:35,55.1001,-105.2842,54.46,44,100,9.06
262,Mar Del Plata,AR,2021-10-03 06:06:02,-38.0023,-57.5575,47.12,59,0,3.0
263,Taltal,CL,2021-10-03 06:13:36,-25.4,-70.4833,57.36,76,2,1.36
264,Havre,FR,2021-10-03 06:13:37,49.5833,0.3333,52.34,95,100,10.67
265,Bethel,US,2021-10-03 06:06:32,41.3712,-73.414,62.04,89,1,0.0
266,Belyy Yar,RU,2021-10-03 06:13:37,53.6039,91.3903,42.69,45,0,11.18
267,Taft,IR,2021-10-03 06:13:38,31.7471,54.2088,67.95,30,0,6.91
268,Milos,GR,2021-10-03 06:13:38,36.75,24.4333,65.12,64,20,25.46
269,Kemi,FI,2021-10-03 06:13:39,65.8596,24.8228,46.17,93,75,9.22
270,Puerto Varas,CL,2021-10-03 06:13:39,-41.3195,-72.9854,39.42,100,75,2.3
271,Lomovka,RU,2021-10-03 06:13:40,53.9194,58.3672,40.12,70,98,6.29
272,Matamoros,MX,2021-10-03 06:10:08,25.5333,-103.25,76.1,54,87,10.8
273,Aripuana,BR,2021-10-03 06:13:05,-9.1667,-60.6333,70.25,100,72,1.59
274,Gat,IL,2021-10-03 06:13:40,31.61,34.7642,76.91,62,33,7.61
275,Suntar,RU,2021-10-03 06:12:12,62.1444,117.6319,43.65,41,29,3.09
276,Naze,JP,2021-10-03 06:10:14,28.3667,129.4833,79.88,63,0,17.36
277,Mazagao,BR,2021-10-03 06:13:41,-0.115,-51.2894,84.25,90,23,2.44
278,Pisco,PE,2021-10-03 06:10:24,-13.7,-76.2167,60.85,82,90,2.3
279,Atyashevo,RU,2021-10-03 06:14:24,54.5644,46.0691,46.26,72,100,4.16
280,Sitka,US,2021-10-03 06:10:33,57.0531,-135.33,40.89,81,75,10.36
281,Mogzon,RU,2021-10-03 06:12:14,51.7435,111.9606,45.91,40,47,6.64
282,Mbandaka,CD,2021-10-03 06:14:25,0.0487,18.2603,74.52,82,87,2.73
283,Burla,IN,2021-10-03 06:08:11,21.5,83.8667,92.14,72,2,4.25
284,Saldanha,ZA,2021-10-03 06:14:26,-33.0117,17.9442,54.18,63,81,7.34
285,Akcakoca,TR,2021-10-03 06:14:26,41.0866,31.1162,59.65,83,99,3.87
286,Poya,NC,2021-10-03 06:14:27,-21.35,165.15,77.58,74,75,5.01
287,Atasu,KZ,2021-10-03 06:14:28,48.6814,71.6433,44.42,45,71,10.51
288,Saint Anthony,US,2021-10-03 06:14:28,45.0205,-93.218,64.45,90,90,1.01
289,Dongsheng,CN,2021-10-03 06:14:28,39.8161,109.9776,66.65,22,62,15.03
290,Atherton,GB,2021-10-03 06:14:29,53.5237,-2.4935,47.28,94,3,5.99
291,Mendi,PG,2021-10-03 06:14:29,-6.1761,143.6513,59.58,99,100,2.42
292,Buala,SB,2021-10-03 06:08:56,-8.145,159.5921,81.57,79,97,2.98
293,Bone,DE,2021-10-03 06:14:30,51.9669,12.1396,61.92,54,100,16.13
294,Gimli,CA,2021-10-03 06:14:30,50.6336,-96.9907,54.97,64,1,1.95
