City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Placido De Castro,BR,-10.3353,-67.1856,71.28,99,96,1.41,overcast clouds
329,Berlevag,NO,70.8578,29.0864,49.95,66,40,13.8,scattered clouds
330,Henties Bay,NA,-22.116,14.2845,50.86,72,35,3.87,scattered clouds
331,Wanaka,NZ,-44.7,169.15,60.12,70,90,4.0,overcast clouds
332,Marawi,PH,7.9986,124.2928,76.64,52,93,4.88,overcast clouds
333,Sitka,US,57.0531,-135.33,40.89,70,1,5.75,clear sky
334,Kahului,US,20.8947,-156.47,78.82,76,40,19.57,scattered clouds
335,Anadyr,RU,64.75,177.4833,34.3,100,75,13.0,light snow
336,Neuquen,AR,-38.9516,-68.0591,46.29,39,0,3.44,clear sky
337,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.33,71,58,0.4,broken clouds
338,Siniscola,IT,40.5719,9.6922,65.75,76,100,6.69,overcast clouds
339,Guymon,US,36.6828,-101.4816,59.0,63,1,3.44,clear sky
340,Marsa Matruh,EG,31.3525,27.2453,73.6,60,40,9.22,scattered clouds
341,Talnakh,RU,69.4865,88.3972,35.1,100,100,5.5,moderate rain
342,Chara,RU,56.9064,118.2631,35.73,46,59,1.83,broken clouds
343,Alexandria,EG,31.2156,29.9553,75.16,57,40,8.05,scattered clouds
344,Naze,JP,28.3667,129.4833,81.52,69,54,15.7,broken clouds
